N,P,K,target
69.47,5.28,64.28,Okra
80.76,44.13,80.01,Okra
62.48,24.81,56.09,Okra
65.72,52.55,88.76,Okra
64.97,36.08,83.41,Okra
85.24,58.78,42.54,Okra
37.5,52.08,70.19,String bean
30.14,49.73,46.33,String bean
34.98,51.18,60.13,String bean
45.96,23.07,31.71,String bean
32.57,31.56,42.97,String bean
35.29,9.72,39.05,String bean
44.99,29.9,51.59,String bean
44.6,53.64,28.34,String bean
42.29,45.25,35.28,String bean
38.44,49.24,27.48,String bean
53.6,34.0,46.91,String bean
31.64,50.39,41.37,String bean
32.18,-9.8,37.72,String bean
45.56,61.11,54.41,String bean
41.72,13.89,32.18,String bean
35.18,17.06,53.0,String bean
30.18,44.03,35.69,String bean
29.37,40.17,48.07,String bean
43.05,47.55,40.23,String bean
18.05,74.27,57.76,String bean
46.78,67.99,40.81,String bean
47.21,51.17,40.35,String bean
39.18,61.64,35.53,String bean
34.86,48.47,32.72,String bean
38.86,47.0,44.7,String bean
26.48,59.42,52.62,String bean
32.75,66.96,45.6,String bean
36.05,53.31,26.35,String bean
46.34,30.18,36.61,String bean
39.64,10.22,58.51,String bean
51.72,49.09,44.35,String bean
45.48,106.45,43.05,String bean
29.14,62.11,47.57,String bean
50.95,22.38,33.57,String bean
54.42,30.19,43.66,String bean
49.0,59.81,54.83,String bean
37.01,42.3,38.08,String bean
49.82,59.0,34.95,String bean
40.5,92.67,32.15,String bean
41.24,85.08,42.65,String bean
32.99,32.93,33.73,String bean
26.14,51.05,42.21,String bean
54.72,94.87,58.38,String bean
43.3,90.15,39.63,String bean
39.03,45.07,32.82,String bean
34.72,44.39,33.51,String bean
43.56,99.06,38.35,String bean
34.53,31.17,37.56,String bean
42.79,-8.52,25.9,String bean
36.03,50.35,31.45,String bean
31.15,-2.4,48.08,String bean
57.06,35.37,42.72,String bean
47.65,42.92,38.61,String bean
35.44,30.68,33.84,String bean
55.38,44.86,46.25,String bean
51.13,25.14,53.36,String bean
47.9,9.27,46.69,String bean
12.51,31.98,27.27,String bean
26.98,99.59,26.91,String bean
36.12,5.61,41.81,String bean
54.35,33.89,39.62,String bean
41.88,22.57,53.21,String bean
28.56,29.55,2.94,String bean
26.9,30.9,49.83,String bean
23.48,41.99,28.23,String bean
61.65,49.9,36.27,String bean
62.16,-14.98,41.57,String bean
41.59,24.35,43.04,String bean
43.74,69.91,52.28,String bean
47.35,76.72,42.89,String bean
51.56,45.28,32.15,String bean
50.69,61.01,32.69,String bean
40.72,68.96,38.1,String bean
43.43,67.81,41.81,String bean
40.14,88.06,55.84,String bean
42.01,46.88,56.83,String bean
32.44,17.94,54.83,String bean
34.86,4.81,32.62,String bean
46.6,47.61,43.64,String bean
33.32,57.71,55.34,String bean
29.98,35.93,40.17,String bean
55.44,42.15,55.41,String bean
48.36,38.35,30.86,String bean
46.61,53.76,47.14,String bean
50.43,-6.65,43.03,String bean
29.0,66.2,33.93,String bean
49.77,70.88,53.49,String bean
29.7,44.06,26.32,String bean
41.86,9.78,28.29,String bean
34.59,83.9,19.24,String bean
41.17,72.49,40.96,String bean
38.55,50.44,24.08,String bean
37.11,91.48,39.3,String bean
34.89,5.6,40.15,String bean
41.41,58.47,35.65,String bean
39.16,26.14,49.1,String bean
46.17,93.63,32.9,String bean
31.82,33.31,50.25,String bean
51.45,18.96,40.68,String bean
21.0,39.84,38.42,String bean
49.74,88.79,32.41,String bean
33.3,75.07,44.36,String bean
40.0,20.36,55.88,String bean
68.38,44.27,36.66,String bean
32.2,54.32,40.99,String bean
14.04,20.09,43.81,String bean
34.95,-18.33,40.15,String bean
34.81,61.54,39.45,String bean
28.52,7.02,29.21,String bean
43.78,68.62,31.53,String bean
48.88,57.03,31.56,String bean
38.32,53.05,45.49,String bean
58.07,49.31,32.76,String bean
29.29,53.96,32.66,String bean
44.13,38.15,37.5,String bean
37.36,35.36,38.47,String bean
33.22,21.88,46.26,String bean
24.51,60.38,55.86,String bean
33.83,12.7,40.85,String bean
44.88,61.47,36.28,String bean
76.5,49.68,31.91,String bean
49.36,13.08,22.5,String bean
35.17,35.83,24.71,String bean
52.19,24.95,33.25,String bean
55.13,18.19,44.05,String bean
29.45,1.69,38.75,String bean
27.72,46.35,42.56,String bean
31.98,58.11,37.8,String bean
44.2,81.94,56.29,String bean
35.74,27.41,42.45,String bean
23.62,35.46,26.88,String bean
45.24,41.85,50.42,String bean
43.44,11.89,24.81,String bean
42.54,57.88,30.43,String bean
26.56,66.46,46.68,String bean
51.67,33.67,39.07,String bean
39.47,39.79,41.84,String bean
36.44,60.51,24.37,String bean
43.6,78.48,35.93,String bean
29.74,48.54,36.62,String bean
20.24,42.93,59.43,String bean
45.19,74.06,46.63,String bean
31.47,38.3,27.22,String bean
49.67,7.56,47.0,String bean
23.24,19.82,48.95,String bean
16.89,59.38,48.05,String bean
37.94,49.88,46.83,String bean
12.23,17.35,35.2,String bean
55.03,28.71,35.67,String bean
41.57,62.68,11.35,String bean
38.71,49.67,46.08,String bean
40.61,90.94,43.51,String bean
32.58,52.46,37.89,String bean
27.22,74.39,44.93,String bean
57.42,87.39,44.55,String bean
34.6,79.19,50.99,String bean
23.92,35.4,36.86,String bean
47.9,1.86,48.12,String bean
21.75,58.58,27.1,String bean
34.86,8.0,31.3,String bean
53.74,23.88,44.86,String bean
18.36,70.16,46.44,String bean
36.01,23.38,59.91,String bean
33.18,53.69,52.64,String bean
32.38,47.45,33.93,String bean
34.13,42.65,36.22,String bean
32.82,13.98,35.1,String bean
29.55,43.02,47.0,String bean
46.37,48.15,35.62,String bean
52.53,85.4,45.51,String bean
40.48,63.37,33.14,String bean
33.72,73.72,44.32,String bean
48.94,3.6,46.34,String bean
49.56,74.75,38.19,String bean
51.15,22.48,46.66,String bean
23.52,39.02,36.02,String bean
34.25,34.95,36.14,String bean
40.3,51.41,53.57,String bean
55.24,32.67,41.13,String bean
57.32,8.79,56.39,String bean
44.14,45.18,30.84,String bean
34.67,81.71,30.59,String bean
42.57,33.83,44.91,String bean
30.62,63.67,43.9,String bean
51.54,88.33,37.88,String bean
35.58,68.1,38.21,String bean
25.46,61.79,40.87,String bean
60.54,39.38,43.07,String bean
34.8,39.42,35.52,String bean
35.25,58.93,29.41,String bean
22.64,53.93,36.65,String bean
31.94,50.61,42.12,String bean
49.7,4.37,36.58,String bean
47.81,35.2,39.69,String bean
42.88,39.7,29.14,String bean
45.44,9.92,49.24,String bean
48.4,64.56,37.49,String bean
39.68,72.56,40.11,String bean
45.9,44.4,43.14,String bean
34.4,71.18,42.25,String bean
52.94,63.78,39.69,String bean
35.35,26.9,27.1,String bean
68.09,72.44,24.79,String bean
36.14,44.49,47.45,String bean
53.4,84.96,36.82,String bean
33.08,63.62,33.49,String bean
46.63,37.8,36.28,String bean
38.17,9.15,32.01,String bean
41.85,58.63,33.99,String bean
30.3,23.44,44.76,String bean
34.98,-10.4,43.86,String bean
33.64,35.29,65.9,String bean
37.81,59.07,48.5,String bean
36.33,32.7,42.62,String bean
39.42,40.27,61.91,String bean
37.35,30.17,28.46,String bean
41.43,64.06,53.08,String bean
43.12,41.58,21.58,String bean
40.48,61.51,39.38,String bean
17.54,21.94,44.34,String bean
48.27,53.83,55.63,String bean
32.66,36.53,47.09,String bean
34.44,34.95,40.49,String bean
29.0,54.05,44.41,String bean
41.29,61.29,39.65,String bean
42.53,38.76,50.33,String bean
39.6,53.6,40.65,String bean
41.73,59.22,46.08,String bean
45.89,74.69,34.26,String bean
42.2,57.78,40.11,String bean
49.53,67.82,42.03,String bean
28.28,35.26,51.6,String bean
55.75,78.01,14.28,String bean
33.99,69.49,46.87,String bean
28.22,54.8,41.38,String bean
37.66,43.44,50.64,String bean
27.75,30.52,34.22,String bean
49.93,17.75,52.95,String bean
50.68,38.54,28.3,String bean
57.13,49.8,43.13,String bean
54.03,55.89,38.35,String bean
49.45,70.51,61.59,String bean
47.06,59.21,47.31,String bean
36.52,67.19,62.21,String bean
35.93,2.43,40.97,String bean
42.21,17.28,38.26,String bean
31.57,30.24,37.51,String bean
30.87,79.98,51.17,String bean
47.93,39.83,29.87,String bean
48.36,25.2,50.19,String bean
34.97,55.15,36.44,String bean
21.98,39.13,37.92,String bean
39.68,55.46,44.9,String bean
50.6,35.96,32.64,String bean
34.11,40.34,40.84,String bean
40.31,52.25,47.72,String bean
25.14,29.44,54.22,String bean
37.37,34.12,50.33,String bean
46.47,39.45,12.23,String bean
34.65,41.16,24.67,String bean
23.79,10.38,34.49,String bean
53.61,47.44,42.95,String bean
57.16,31.59,44.14,String bean
40.25,21.23,53.71,String bean
41.48,16.4,35.09,String bean
28.77,-28.85,55.72,String bean
31.02,66.03,50.12,String bean
44.28,45.17,32.79,String bean
65.71,55.43,42.55,String bean
45.29,31.75,36.23,String bean
47.58,24.05,32.18,String bean
47.94,57.44,46.74,String bean
44.89,62.16,34.58,String bean
41.46,25.56,18.63,String bean
40.28,66.27,38.96,String bean
47.76,41.25,30.43,String bean
44.3,78.86,39.47,String bean
54.16,47.11,33.74,String bean
37.23,29.62,61.73,String bean
35.48,52.18,44.78,String bean
34.22,84.27,26.16,String bean
60.26,24.05,21.43,String bean
60.26,40.89,37.41,String bean
37.57,34.85,25.9,String bean
39.55,50.92,36.56,String bean
42.33,28.15,37.82,String bean
44.53,35.75,51.54,String bean
63.86,82.93,52.19,String bean
39.77,58.34,42.97,String bean
56.72,45.69,35.68,String bean
31.38,27.33,33.59,String bean
40.75,44.65,53.73,String bean
38.94,14.44,45.61,String bean
56.68,-46.38,48.95,String bean
24.27,73.5,49.14,String bean
46.97,25.87,47.34,String bean
50.88,67.9,33.14,String bean
44.67,34.21,42.97,String bean
56.8,42.73,37.9,String bean
16.93,-11.45,51.31,String bean
36.09,45.55,35.84,String bean
37.52,60.67,54.95,String bean
27.05,31.16,40.98,String bean
43.94,72.31,45.58,String bean
16.98,7.27,38.68,String bean
40.5,95.71,52.03,String bean
41.59,57.89,28.89,String bean
39.12,-0.5,57.53,String bean
45.11,10.84,30.8,String bean
49.27,26.09,51.71,String bean
50.74,69.29,41.37,String bean
50.91,75.2,35.66,String bean
31.08,20.38,32.8,String bean
32.18,66.29,48.72,String bean
28.33,49.31,50.78,String bean
45.14,-17.1,45.72,String bean
33.12,72.72,26.96,String bean
42.03,-2.17,25.48,String bean
52.91,32.15,38.39,String bean
18.89,61.75,44.45,String bean
37.53,1.3,39.66,String bean
39.9,33.18,40.1,String bean
37.45,38.1,26.06,String bean
34.77,48.02,39.9,String bean
55.17,21.09,45.52,String bean
41.42,35.54,32.19,String bean
32.64,19.22,41.14,String bean
30.01,100.98,45.08,String bean
27.52,19.24,30.83,String bean
49.74,37.34,57.09,String bean
44.5,36.45,50.98,String bean
38.93,77.94,49.75,String bean
49.46,49.48,29.1,String bean
16.34,39.33,17.61,String bean
44.94,41.61,58.37,String bean
45.98,45.27,32.03,String bean
43.55,40.89,40.96,String bean
33.19,27.84,40.54,String bean
30.3,49.23,52.68,String bean
57.58,2.47,46.51,String bean
38.65,52.03,41.36,String bean
37.73,29.43,51.78,String bean
31.27,41.63,42.92,String bean
38.29,58.97,36.99,String bean
44.75,70.66,36.1,String bean
36.35,86.31,32.62,String bean
48.72,55.04,20.52,String bean
17.47,3.93,41.33,String bean
47.49,56.26,38.89,String bean
32.55,33.74,38.59,String bean
28.28,56.03,37.09,String bean
34.06,32.45,47.04,String bean
37.98,71.19,38.18,String bean
47.92,63.78,33.32,String bean
39.29,18.23,59.03,String bean
40.72,34.36,38.45,String bean
44.03,32.48,68.52,String bean
57.38,62.06,59.75,String bean
49.55,61.88,35.43,String bean
42.31,17.81,35.0,String bean
30.84,46.27,24.39,String bean
13.28,11.59,49.28,String bean
24.89,29.59,42.75,String bean
36.3,25.73,39.87,String bean
33.11,70.0,37.53,String bean
49.53,58.96,36.76,String bean
49.04,64.18,48.07,String bean
28.76,45.15,43.82,String bean
48.22,43.16,34.94,String bean
27.63,84.92,32.64,String bean
44.05,66.59,42.85,String bean
54.64,50.02,58.38,String bean
46.14,49.64,42.21,String bean
46.25,59.64,42.95,String bean
30.0,48.52,31.04,String bean
34.2,69.5,32.14,String bean
44.34,62.66,32.93,String bean
35.78,48.65,51.59,String bean
31.84,45.22,43.59,String bean
48.41,11.18,44.74,String bean
29.63,94.08,54.8,String bean
43.59,19.53,50.75,String bean
47.63,33.8,29.3,String bean
34.48,28.6,32.94,String bean
26.53,64.98,30.13,String bean
41.0,56.97,39.27,String bean
40.7,40.18,49.81,String bean
55.18,33.08,47.63,String bean
47.18,50.3,31.41,String bean
36.51,34.7,32.78,String bean
43.53,67.64,34.27,String bean
45.89,26.72,52.57,String bean
35.88,40.95,39.09,String bean
47.19,21.7,32.78,String bean
32.56,43.85,31.05,String bean
49.89,37.53,43.27,String bean
43.2,32.95,39.35,String bean
31.52,45.38,33.45,String bean
33.78,71.68,35.74,String bean
21.98,67.12,49.14,String bean
61.79,42.58,56.25,String bean
42.77,45.35,43.51,String bean
53.07,47.66,50.88,String bean
42.28,8.3,29.47,String bean
43.32,84.9,15.04,String bean
35.23,17.15,37.27,String bean
47.68,103.78,40.0,String bean
29.25,38.84,33.14,String bean
42.14,76.8,36.86,String bean
47.05,34.63,44.29,String bean
42.67,62.18,36.34,String bean
34.33,64.95,53.78,String bean
37.28,64.39,50.25,String bean
41.75,48.57,43.56,String bean
42.61,31.74,23.72,String bean
45.9,13.7,55.15,String bean
36.29,16.86,20.3,String bean
44.88,82.89,57.39,String bean
38.57,30.99,35.52,String bean
46.28,22.01,38.42,String bean
42.5,57.75,52.27,String bean
36.36,50.6,30.27,String bean
48.14,23.99,41.42,String bean
41.03,84.51,31.07,String bean
46.9,57.8,35.38,String bean
36.38,23.61,50.61,String bean
43.64,91.68,37.49,String bean
53.27,50.98,48.12,String bean
43.38,31.0,42.13,String bean
52.05,-8.18,39.7,String bean
39.68,-19.59,39.73,String bean
33.11,40.52,44.42,String bean
24.59,48.81,41.87,String bean
38.21,33.32,51.28,String bean
54.11,37.24,37.79,String bean
38.13,41.5,48.73,String bean
25.7,45.84,46.41,String bean
42.84,91.92,35.04,String bean
51.3,48.17,45.97,String bean
42.87,72.91,49.84,String bean
43.54,38.05,20.11,String bean
48.8,35.5,34.72,String bean
22.99,82.55,55.89,String bean
33.8,64.37,47.67,String bean
20.93,18.7,41.93,String bean
47.15,42.47,30.33,String bean
42.56,76.67,41.39,String bean
55.02,55.94,44.22,String bean
39.33,64.91,39.95,String bean
33.07,17.56,42.79,String bean
49.29,2.98,46.85,String bean
18.67,57.59,27.15,String bean
35.17,40.55,45.32,String bean
23.79,68.42,46.43,String bean
41.34,54.1,39.57,String bean
50.5,96.66,47.18,String bean
27.3,57.66,52.15,String bean
19.51,50.61,61.19,String bean
27.18,20.87,34.84,String bean
30.35,24.89,55.55,String bean
35.44,81.85,63.84,String bean
37.77,22.86,50.16,String bean
44.73,39.77,42.97,String bean
40.17,41.08,58.86,String bean
25.85,14.51,33.7,String bean
38.1,31.95,28.04,String bean
30.86,41.23,41.19,String bean
41.33,66.19,34.43,String bean
41.9,42.27,52.0,String bean
49.84,11.58,27.53,String bean
41.35,94.83,43.31,String bean
36.85,98.27,30.4,String bean
25.58,18.1,40.12,String bean
31.23,43.33,35.33,String bean
33.07,83.09,28.83,String bean
41.95,50.63,51.48,String bean
43.4,44.83,47.17,String bean
46.34,55.94,31.91,String bean
35.0,46.84,41.26,String bean
47.71,97.56,44.71,String bean
34.75,24.62,49.65,String bean
43.59,5.47,45.97,String bean
41.22,46.96,35.93,String bean
25.61,44.28,48.61,String bean
19.49,75.72,44.13,String bean
49.66,67.65,57.48,String bean
31.89,44.56,38.08,String bean
27.17,1.81,51.61,String bean
33.75,88.92,56.1,String bean
38.67,60.81,52.91,String bean
43.98,92.89,25.76,String bean
42.43,17.67,24.29,String bean
45.39,72.22,25.46,String bean
39.64,-24.72,34.47,String bean
44.11,22.51,39.98,String bean
33.3,56.96,33.14,String bean
38.38,36.67,42.67,String bean
24.26,61.68,49.51,String bean
30.43,80.36,54.66,String bean
49.09,52.96,45.89,String bean
58.79,36.71,23.58,String bean
49.97,40.18,37.8,String bean
24.14,76.0,32.46,String bean
26.55,83.18,48.2,String bean
32.51,21.2,34.19,String bean
41.39,32.81,46.23,String bean
53.2,73.0,36.73,String bean
34.63,10.71,37.52,String bean
43.04,42.02,31.57,String bean
26.04,69.65,48.15,String bean
40.08,90.01,48.47,String bean
38.63,70.94,44.84,String bean
60.53,39.6,58.34,String bean
30.34,82.01,37.14,String bean
47.63,18.84,39.96,String bean
30.52,56.68,37.08,String bean
49.29,53.73,28.66,String bean
31.53,39.03,25.92,String bean
36.25,24.54,43.41,String bean
41.71,33.98,34.64,String bean
37.82,12.38,42.15,String bean
38.08,85.02,41.69,String bean
35.07,56.33,29.11,String bean
49.1,52.17,27.62,String bean
36.38,54.08,44.74,String bean
39.89,42.13,30.88,String bean
38.27,40.57,46.36,String bean
48.76,52.21,40.18,String bean
27.61,36.14,47.45,String bean
22.27,68.59,38.18,String bean
29.65,59.08,42.4,String bean
42.71,54.13,58.31,String bean
57.86,63.41,33.9,String bean
32.67,67.87,36.49,String bean
44.53,55.97,44.64,String bean
51.01,51.79,33.16,String bean
19.19,4.14,45.98,String bean
32.91,47.73,38.93,String bean
30.54,22.26,58.25,String bean
36.76,14.45,21.78,String bean
38.12,41.21,40.12,String bean
56.3,29.77,59.94,String bean
41.75,15.22,26.14,String bean
48.52,69.22,39.79,String bean
51.96,33.29,24.95,String bean
30.76,23.54,60.64,String bean
49.92,59.25,42.84,String bean
43.73,59.05,48.21,String bean
30.82,42.52,52.03,String bean
18.85,41.88,29.62,String bean
40.21,46.08,43.61,String bean
41.11,54.07,57.86,String bean
43.75,32.91,43.41,String bean
43.02,61.92,28.89,String bean
36.52,21.23,45.0,String bean
55.52,39.62,30.59,String bean
49.84,51.05,23.26,String bean
48.82,5.8,49.55,String bean
54.58,-2.4,48.66,String bean
32.38,31.22,66.93,String bean
43.19,85.04,38.2,String bean
59.93,5.01,28.06,String bean
30.26,60.48,41.62,String bean
40.77,3.67,46.52,String bean
27.6,27.59,29.95,String bean
23.72,31.52,44.72,String bean
50.24,31.66,30.05,String bean
30.73,49.83,43.03,String bean
55.12,24.5,29.51,String bean
53.12,2.54,36.86,String bean
39.71,48.98,56.66,String bean
41.92,27.51,36.51,String bean
32.12,7.53,33.15,String bean
30.16,38.87,28.59,String bean
31.31,32.54,59.48,String bean
38.26,58.53,50.95,String bean
33.1,28.35,59.83,String bean
44.26,78.0,53.36,String bean
48.36,76.56,28.88,String bean
55.73,98.9,35.85,String bean
49.68,69.64,58.85,String bean
42.63,65.61,35.6,String bean
39.69,28.04,41.09,String bean
34.33,63.32,27.54,String bean
35.65,62.74,49.36,String bean
25.92,15.72,38.03,String bean
41.47,56.97,48.9,String bean
42.9,43.41,29.95,String bean
25.43,36.74,39.76,String bean
22.35,41.93,34.8,String bean
34.06,43.49,52.42,String bean
52.55,41.3,26.42,String bean
46.86,9.77,14.54,String bean
25.97,-5.14,36.12,String bean
35.4,54.13,43.68,String bean
39.41,51.74,46.48,String bean
20.67,33.5,8.56,String bean
36.97,50.02,43.82,String bean
26.3,43.17,48.7,String bean
28.15,90.23,45.48,String bean
22.74,46.45,31.21,String bean
39.74,42.96,52.97,String bean
39.75,63.48,42.18,String bean
47.87,19.85,34.91,String bean
39.29,95.69,55.46,String bean
46.71,38.4,18.49,String bean
44.18,70.72,17.57,String bean
29.81,80.97,55.07,String bean
41.03,42.28,44.17,String bean
36.0,58.99,51.06,String bean
43.44,66.33,28.11,String bean
43.77,34.18,45.52,String bean
32.96,51.8,59.36,String bean
29.18,73.37,30.72,String bean
15.4,6.66,50.61,String bean
34.35,65.81,32.62,String bean
39.02,66.7,48.23,String bean
52.23,52.49,22.9,String bean
38.24,129.25,42.09,String bean
23.62,43.34,37.13,String bean
38.35,51.23,38.55,String bean
27.12,68.92,37.7,String bean
40.84,-20.25,40.23,String bean
24.94,76.4,42.38,String bean
34.8,32.76,42.04,String bean
42.7,83.35,40.69,String bean
49.85,47.11,26.51,String bean
46.83,59.3,51.14,String bean
42.0,50.41,34.19,String bean
40.93,39.46,41.07,String bean
31.82,40.94,51.04,String bean
36.03,27.52,47.53,String bean
22.76,48.79,26.74,String bean
31.32,36.7,33.57,String bean
37.66,42.63,44.84,String bean
30.11,25.52,48.42,String bean
48.73,23.76,47.88,String bean
37.34,51.34,52.53,String bean
32.17,24.96,34.43,String bean
36.77,42.29,24.19,String bean
38.81,64.14,34.44,String bean
31.64,78.33,54.18,String bean
19.18,40.36,35.66,String bean
38.88,-2.14,46.32,String bean
62.77,52.01,43.7,String bean
30.5,46.67,35.65,String bean
33.37,19.26,44.14,String bean
45.09,38.58,24.69,String bean
35.45,-14.65,45.86,String bean
44.41,34.88,39.43,String bean
24.17,41.52,26.84,String bean
54.45,3.49,38.26,String bean
30.32,44.61,48.67,String bean
29.62,43.17,51.72,String bean
50.86,16.63,44.19,String bean
40.72,39.66,37.95,String bean
50.27,59.28,48.9,String bean
36.63,98.17,37.51,String bean
49.3,28.99,33.12,String bean
41.65,69.43,42.1,String bean
30.68,31.44,34.11,String bean
32.99,35.49,25.23,String bean
27.17,63.26,34.43,String bean
44.08,63.02,31.86,String bean
34.17,99.72,35.32,String bean
61.89,30.79,50.23,String bean
41.67,60.51,32.93,String bean
44.52,80.94,37.62,String bean
40.52,35.88,33.2,String bean
23.99,79.62,48.64,String bean
32.19,69.44,38.51,String bean
42.64,58.2,46.98,String bean
45.03,20.0,38.37,String bean
31.0,72.19,39.52,String bean
53.3,90.9,45.87,String bean
31.52,18.47,47.28,String bean
29.77,77.48,47.77,String bean
38.06,62.7,40.44,String bean
47.84,3.32,56.85,String bean
33.58,60.01,39.55,String bean
37.5,-23.76,31.28,String bean
33.44,75.74,36.82,String bean
39.01,35.92,39.49,String bean
42.43,74.05,32.09,String bean
47.41,53.83,40.14,String bean
40.65,97.72,32.96,String bean
55.99,35.03,40.56,String bean
54.21,51.63,21.91,String bean
24.84,26.46,48.38,String bean
33.89,44.02,34.07,String bean
39.69,27.8,37.91,String bean
25.46,7.83,52.22,String bean
51.96,58.78,67.04,String bean
39.39,41.28,34.0,String bean
29.59,48.36,49.19,String bean
36.06,56.95,37.47,String bean
34.95,40.19,29.54,String bean
36.62,38.85,36.57,String bean
34.0,22.2,48.55,String bean
23.97,55.63,34.89,String bean
23.73,70.71,29.45,String bean
41.68,35.61,43.04,String bean
36.84,61.18,35.2,String bean
44.3,71.22,45.72,String bean
41.9,20.38,35.53,String bean
30.59,33.96,33.5,String bean
39.16,26.21,46.94,String bean
42.39,99.01,43.85,String bean
40.29,40.82,46.84,String bean
20.97,18.93,31.5,String bean
54.71,29.78,34.92,String bean
46.84,40.39,28.1,String bean
44.87,24.49,45.06,String bean
62.45,24.84,57.83,String bean
51.91,64.37,29.23,String bean
41.47,47.62,29.49,String bean
37.28,28.06,31.63,String bean
33.97,83.92,21.11,String bean
36.23,14.82,42.06,String bean
13.62,13.65,40.62,String bean
44.61,6.78,42.78,String bean
40.85,33.61,51.55,String bean
29.61,62.31,31.52,String bean
50.09,94.98,29.21,String bean
42.88,60.07,44.05,String bean
34.79,25.03,20.94,String bean
37.82,70.62,38.02,String bean
36.28,0.56,47.36,String bean
27.71,48.23,51.45,String bean
37.31,42.29,35.53,String bean
38.61,53.59,34.31,String bean
29.8,34.73,31.46,String bean
26.98,46.71,44.71,String bean
49.27,75.04,32.41,String bean
39.66,68.46,37.46,String bean
38.16,32.36,55.19,String bean
28.08,75.51,52.55,String bean
23.9,86.8,49.76,String bean
41.67,61.3,42.99,String bean
38.61,50.31,46.46,String bean
24.03,10.81,27.39,String bean
46.76,93.0,47.33,String bean
30.98,57.34,32.77,String bean
28.78,35.88,24.51,String bean
29.0,58.8,42.74,String bean
40.36,46.04,39.86,String bean
51.56,68.0,27.86,String bean
36.23,16.75,46.43,String bean
48.51,41.86,28.74,String bean
43.48,85.48,28.32,String bean
37.9,49.11,29.84,String bean
28.41,83.38,28.6,String bean
48.64,49.23,38.33,String bean
44.93,52.18,29.89,String bean
51.48,41.13,36.55,String bean
26.28,33.45,38.36,String bean
37.85,57.66,55.0,String bean
47.91,75.28,51.47,String bean
59.93,35.62,33.18,String bean
41.12,24.55,45.39,String bean
39.45,34.6,49.56,String bean
32.59,20.52,37.31,String bean
34.92,27.35,37.76,String bean
46.93,28.7,43.42,String bean
44.93,0.17,38.76,String bean
53.43,-9.02,43.4,String bean
43.21,79.8,37.11,String bean
38.58,19.74,22.02,String bean
39.96,60.96,32.2,String bean
39.1,45.02,39.8,String bean
39.31,36.46,51.02,String bean
40.51,69.43,26.14,String bean
36.65,14.64,46.5,String bean
27.19,-22.56,51.37,String bean
26.81,77.64,35.58,String bean
29.89,53.17,45.38,String bean
44.51,48.58,57.04,String bean
57.92,54.25,32.39,String bean
20.61,47.94,49.47,String bean
33.22,2.36,41.4,String bean
29.2,12.74,42.39,String bean
48.0,38.28,40.59,String bean
52.53,42.24,43.77,String bean
40.05,45.87,49.31,String bean
39.02,8.82,33.19,String bean
45.9,33.38,39.23,String bean
20.42,33.44,68.83,String bean
33.48,-3.2,33.98,String bean
26.08,21.02,43.19,String bean
34.47,34.63,21.66,String bean
45.66,30.25,42.05,String bean
44.84,69.94,34.18,String bean
51.36,10.05,46.18,String bean
41.67,83.85,48.44,String bean
14.03,56.22,38.98,String bean
35.14,32.81,43.63,String bean
25.92,78.9,35.29,String bean
34.12,40.79,35.52,String bean
49.99,51.98,40.64,String bean
55.88,63.93,36.79,String bean
36.09,57.1,40.17,String bean
53.74,54.98,30.0,String bean
42.11,83.91,33.06,String bean
33.86,70.42,53.01,String bean
48.82,35.1,27.43,String bean
31.66,55.28,39.67,String bean
32.38,66.04,45.54,String bean
35.77,66.41,41.55,String bean
28.0,40.73,59.01,String bean
25.19,78.36,25.32,String bean
42.28,28.58,52.75,String bean
35.68,13.21,33.6,String bean
58.98,75.63,39.2,String bean
38.87,39.32,44.98,String bean
38.55,45.69,22.89,String bean
41.4,69.36,29.06,String bean
52.44,54.22,32.12,String bean
40.79,43.24,42.9,String bean
60.6,26.68,44.16,String bean
31.62,19.56,35.6,String bean
32.74,66.42,55.5,String bean
49.46,34.46,41.62,String bean
27.39,36.53,33.12,String bean
25.88,63.87,37.7,String bean
36.59,84.2,32.23,String bean
32.56,40.66,38.59,String bean
38.86,36.29,41.38,String bean
41.96,72.16,28.82,String bean
35.04,44.58,34.93,String bean
45.5,24.95,35.14,String bean
36.5,37.5,33.44,String bean
50.65,27.38,46.47,String bean
28.88,9.84,24.2,String bean
33.19,83.97,39.84,String bean
34.57,56.12,36.67,String bean
42.33,32.13,25.17,String bean
33.27,64.39,49.97,String bean
31.07,19.82,42.17,String bean
34.21,42.48,34.05,String bean
47.65,78.94,44.15,String bean
23.09,36.47,46.78,String bean
35.26,34.61,36.18,String bean
24.11,1.13,47.93,String bean
61.02,11.78,41.18,String bean
25.08,32.44,72.53,String bean
45.7,44.44,29.28,String bean
30.88,18.46,25.93,String bean
52.87,37.55,37.26,String bean
32.75,54.87,29.63,String bean
36.92,78.19,41.58,String bean
17.86,34.93,26.82,String bean
30.19,8.51,46.5,String bean
58.76,8.66,39.01,String bean
18.04,42.76,45.14,String bean
49.68,80.35,47.82,String bean
31.78,59.31,37.97,String bean
41.54,28.05,43.08,String bean
49.6,45.73,56.13,String bean
36.11,34.4,36.84,String bean
47.99,27.78,49.22,String bean
36.15,57.6,34.31,String bean
18.98,80.8,47.82,String bean
42.45,12.42,43.94,String bean
26.16,49.63,42.95,String bean
46.94,76.13,51.28,String bean
40.74,58.34,35.83,String bean
